ID,Obscure ID,Entity,Type,Account Subdomain,dashboard_url
48851,WN6WDBn3,Fundamental Frequency Ventures Fund,Fund,frequency,https://frequency.decilehub.com/firm_admin/entities/WN6WDBn3/dashboard
48850,yKvPQQnx,Measured Capital Fund,Fund,measuredvc,https://measuredvc.decilehub.com/firm_admin/entities/yKvPQQnx/dashboard
48849,L8ZWObKO,sensus Fund,Fund,sensus,https://sensus.decilehub.com/firm_admin/entities/L8ZWObKO/dashboard
48848,GNMgp981,Bamyan Ventures Fund,Fund,bamyanventures,https://bamyanventures.decilehub.com/firm_admin/entities/GNMgp981/dashboard
48847,zKqvyLN5,Mozaik Venture Partners Fund,Fund,mozaikvp,https://mozaikvp.decilehub.com/firm_admin/entities/zKqvyLN5/dashboard
48846,LnpZrMK4,K-VII Fund,Fund,typeseven,https://typeseven.decilehub.com/firm_admin/entities/LnpZrMK4/dashboard
48845,Rne2AQ8q,Blue Ocean Venture Studio Fund,Fund,blueoceanvc,https://blueoceanvc.decilehub.com/firm_admin/entities/Rne2AQ8q/dashboard
48844,7Na5A3ND,Operator Capital Fund,Fund,operatorcapital,https://operatorcapital.decilehub.com/firm_admin/entities/7Na5A3ND/dashboard
48843,WnWZ91NE,Cluster Capital Fund,Fund,cluster,https://cluster.decilehub.com/firm_admin/entities/WnWZ91NE/dashboard
48842,9KRa628p,L Fund,Fund,ll,https://ll.decilehub.com/firm_admin/entities/9KRa628p/dashboard
48841,OnY63j8V,Demo Fund,Fund,jmmdemohub,https://jmmdemohub.decilehub.com/firm_admin/entities/OnY63j8V/dashboard
48775,gNr6LdN1,Terragenome Fund,Fund,terragenome,https://terragenome.decilehub.com/firm_admin/entities/gNr6LdN1/dashboard
48743,WnWZbkNE,Digital Space VC GP,General Partnership,dsv,https://dsv.decilehub.com/firm_admin/entities/WnWZbkNE/dashboard
48742,9KRa9X8p,Digital Space VC Management Company,Management Company,dsv,https://dsv.decilehub.com/firm_admin/entities/9KRa9X8p/dashboard
48709,oNDPMANR,Mordecai Seed Fund,Fund,mordecaiseed,https://mordecaiseed.decilehub.com/firm_admin/entities/oNDPMANR/dashboard
48676,6NQzrQnr,JDI Energy Partners Fund,Fund,jdiep,https://jdiep.decilehub.com/firm_admin/entities/6NQzrQnr/dashboard
48644,7Na5E0ND,"Capital M Fund II, LP",Fund,capitalm,https://capitalm.decilehub.com/firm_admin/entities/7Na5E0ND/dashboard
48643,WnWZX7NE,"Capital M GP II, Inc",General Partnership,capitalm,https://capitalm.decilehub.com/firm_admin/entities/WnWZX7NE/dashboard
48610,BKVMX083,Frontierpath Secondaries Fund,Fund,frontierpathfund,https://frontierpathfund.decilehub.com/firm_admin/entities/BKVMX083/dashboard
48577,6N0A9Gny,CLINICAL AI Fund,Fund,casi,https://casi.decilehub.com/firm_admin/entities/6N0A9Gny/dashboard
48544,7Na5rvND,Edwards Fund I Fund,Fund,edwardsfundi,https://edwardsfundi.decilehub.com/firm_admin/entities/7Na5rvND/dashboard
48511,J8PGJPnA,Ola Capital Fund,Fund,olacapital,https://olacapital.decilehub.com/firm_admin/entities/J8PGJPnA/dashboard
48478,9KJ1rB8Z,Afloat Invest Fund,Fund,afloatinvest,https://afloatinvest.decilehub.com/firm_admin/entities/9KJ1rB8Z/dashboard
48445,Rne2OO8q,Legacy Wealth Ventures Fund,Fund,legacywealthventures,https://legacywealthventures.decilehub.com/firm_admin/entities/Rne2OO8q/dashboard
48346,Lnp0Ykn4,Kindi Ventures Fund,Fund,kindi,https://kindi.decilehub.com/firm_admin/entities/Lnp0Ykn4/dashboard
48280,3N9AypNJ,Everstead Capital Partners Fund,Fund,everstead,https://everstead.decilehub.com/firm_admin/entities/3N9AypNJ/dashboard
48247,zKqRwBN5,Amashami Ventures Fund,Fund,amashamiventures,https://amashamiventures.decilehub.com/firm_admin/entities/zKqRwBN5/dashboard
48148,GNMoYL81,Vaultus | Planet Plus Fund,Fund,planetplus,https://planetplus.decilehub.com/firm_admin/entities/GNMoYL81/dashboard
48116,1NAakaNX,"Geek Ventures Yope SPV, a series of Decile SPV LLC",Fund,geek,https://geek.decilehub.com/firm_admin/entities/1NAakaNX/dashboard
48115,3K5oExnQ,"Geek Ventures Scalestack SPV, a series of Decile SPV LLC",Fund,geek,https://geek.decilehub.com/firm_admin/entities/3K5oExnQ/dashboard
48082,l8yRoaKZ,MSK Fund,Fund,mustardseedcapital,https://mustardseedcapital.decilehub.com/firm_admin/entities/l8yRoaKZ/dashboard
48016,1NAaqVNX,Midwest BioCapital Fund,Fund,midwestbiocapital,https://midwestbiocapital.decilehub.com/firm_admin/entities/1NAaqVNX/dashboard
47983,08xR0ZNW,Honey Bee Ventures Fund,Fund,honeybeeventures,https://honeybeeventures.decilehub.com/firm_admin/entities/08xR0ZNW/dashboard
47950,yKvRXrKx,BitRoot Fund,Fund,bitroot,https://bitroot.decilehub.com/firm_admin/entities/yKvRXrKx/dashboard
47917,zn1jlz8o,Veloce Fund,Fund,veloce,https://veloce.decilehub.com/firm_admin/entities/zn1jlz8o/dashboard
47851,WN6EGyK3,"Startup Haven Fund I GP, LLC",General Partnership,startuphaven,https://startuphaven.decilehub.com/firm_admin/entities/WN6EGyK3/dashboard
47822,0nd0zxnA,"R42 FUND 1, LP",Fund,r42,https://r42.decilehub.com/firm_admin/entities/0nd0zxnA/dashboard
47821,p8Beglnk,R42 SEED FUND (3.2) LP,Fund,r42,https://r42.decilehub.com/firm_admin/entities/p8Beglnk/dashboard
47820,g8g0OmKZ,"R42 AI AND LONGEVITY FUND 3.1, LP",Fund,r42,https://r42.decilehub.com/firm_admin/entities/g8g0OmKZ/dashboard
47819,yN2DMG8Q,"R42 FUND 3, LP",Fund,r42,https://r42.decilehub.com/firm_admin/entities/yN2DMG8Q/dashboard
47818,PN73DpN0,"R42 FUND 2, LP",Fund,r42,https://r42.decilehub.com/firm_admin/entities/PN73DpN0/dashboard
47785,OnY0EjNV,ktx ventures Fund,Fund,ktxventures,https://ktxventures.decilehub.com/firm_admin/entities/OnY0EjNV/dashboard
47753,oNDq1XnR,Vastplaines Fund,Fund,vastplainesventures,https://vastplainesventures.decilehub.com/firm_admin/entities/oNDq1XnR/dashboard
47752,mnj9lONL,Operator Stack Fund,Fund,operatorstack,https://operatorstack.decilehub.com/firm_admin/entities/mnj9lONL/dashboard
47686,9KR1mX8p,Peak P Ventures Fund,Fund,peakpointvenures,https://peakpointvenures.decilehub.com/firm_admin/entities/9KR1mX8p/dashboard
47653,oNDq2AnR,RSD Fund,Fund,rsd,https://rsd.decilehub.com/firm_admin/entities/oNDq2AnR/dashboard
47620,g8g019KZ,LH Pearl Ventures Fund,Fund,pearlventures,https://pearlventures.decilehub.com/firm_admin/entities/g8g019KZ/dashboard
47554,BKVBB0K3,Compute Capital Fund,Fund,computecapital,https://computecapital.decilehub.com/firm_admin/entities/BKVBB0K3/dashboard
47521,p8Beernk,The Associate Fund Fund,Fund,theassocfund,https://theassocfund.decilehub.com/firm_admin/entities/p8Beernk/dashboard
47456,w8oRYRnq,NVC Partners Fund,Fund,nvcpartners,https://nvcpartners.decilehub.com/firm_admin/entities/w8oRYRnq/dashboard
47455,J8P5ePKA,"ARV Aethex AI SPV, a series of Decile SPV, LLC",Fund,arp,https://arp.decilehub.com/firm_admin/entities/J8P5ePKA/dashboard
47422,0nd0eEnA,01 Foundry Fund,Fund,01foundry,https://01foundry.decilehub.com/firm_admin/entities/0nd0eEnA/dashboard
47389,Rne0pONq,Inversion Ventures Fund,Fund,inversion,https://inversion.decilehub.com/firm_admin/entities/Rne0pONq/dashboard
47356,w8oRBOnq,Harmonic Growth Partners Fund,Fund,harmonicgp,https://harmonicgp.decilehub.com/firm_admin/entities/w8oRBOnq/dashboard
47323,9nGvjpNm,Cereus Ventures Fund,Fund,cereus,https://cereus.decilehub.com/firm_admin/entities/9nGvjpNm/dashboard
47290,Lnp0jkn4,"Humain Ventures Unnatural Products SPV, a Series of Decile SPV, LLC",Fund,humain,https://humain.decilehub.com/firm_admin/entities/Lnp0jkn4/dashboard
47257,2nEMeJnZ,Softsol Fund,Fund,softsol,https://softsol.decilehub.com/firm_admin/entities/2nEMeJnZ/dashboard
47224,3nzRlGnm,Blue Swallows Impact Fund – BSIF Fund,Fund,bsif,https://bsif.decilehub.com/firm_admin/entities/3nzRlGnm/dashboard
47191,zKqRpBN5,Assante Global Fund,Fund,assanteglobal,https://assanteglobal.decilehub.com/firm_admin/entities/zKqRpBN5/dashboard
47158,2N3VDYKy,Lehigh Valley Ventures Fund,Fund,lehighvalley,https://lehighvalley.decilehub.com/firm_admin/entities/2N3VDYKy/dashboard
47125,kKk0ZkNj,8 Frontier Partners Fund,Fund,8frontinerpartners,https://8frontinerpartners.decilehub.com/firm_admin/entities/kKk0ZkNj/dashboard
47092,GNMoRL81,Lehigh Valley Ventures Fund,Fund,lvventures,https://lvventures.decilehub.com/firm_admin/entities/GNMoRL81/dashboard
47027,3nO3J1n6,Madibaz Impact Fund Fund,Fund,madibaimpactfund,https://madibaimpactfund.decilehub.com/firm_admin/entities/3nO3J1n6/dashboard
47026,bnl0OBna,Madibaz Impact Fund Fund,Fund,madibazimpactfund,https://madibazimpactfund.decilehub.com/firm_admin/entities/bnl0OBna/dashboard
46993,L8Z0A7NO,GFIRS  Intelligence Ventures Fund,Fund,give,https://give.decilehub.com/firm_admin/entities/L8Z0A7NO/dashboard
46961,zn1jRe8o,TreuAI Ventures Fund,Fund,treuai,https://treuai.decilehub.com/firm_admin/entities/zn1jRe8o/dashboard
46960,1NAaEVNX,FSD Venture Partners Fund,Fund,fsdvp,https://fsdvp.decilehub.com/firm_admin/entities/1NAaEVNX/dashboard
46929,GNXG3vKg,Rocket Boy Fund,Fund,rocketboy,https://rocketboy.decilehub.com/firm_admin/entities/GNXG3vKg/dashboard
46928,PKLPePK2,Sophie Ventures Fund,Fund,sophieventures,https://sophieventures.decilehub.com/firm_admin/entities/PKLPePK2/dashboard
46927,3nO3MVn6,FBL Ventures Fund,Fund,fbl,https://fbl.decilehub.com/firm_admin/entities/3nO3MVn6/dashboard
46894,yKvRbrKx,ChainForge Ventures Fund,Fund,chainforge,https://chainforge.decilehub.com/firm_admin/entities/yKvRbrKx/dashboard
46862,PN73XkN0,Beyond Enough Ventures Fund,Fund,beventures,https://beventures.decilehub.com/firm_admin/entities/PN73XkN0/dashboard
46861,zn1j0z8o,HR Capital Fund,Fund,hrcapital,https://hrcapital.decilehub.com/firm_admin/entities/zn1j0z8o/dashboard
46828,PKLPbLK2,Faciltate Ventures Fund,Fund,facilitatevc,https://facilitatevc.decilehub.com/firm_admin/entities/PKLPbLK2/dashboard
46796,mnj9m9NL,Allard Business Consultants Fund,Fund,allardfund,https://allardfund.decilehub.com/firm_admin/entities/mnj9m9NL/dashboard
46795,WN6ElyK3,Zorya Fund Fund,Fund,zoryafund,https://zoryafund.decilehub.com/firm_admin/entities/WN6ElyK3/dashboard
46762,PN73epN0,PRIMESOURCE MANAGEMENT Fund,Fund,primesourcecarecapital,https://primesourcecarecapital.decilehub.com/firm_admin/entities/PN73epN0/dashboard
46730,y8m0e5nW,Abeokuta Angels Network Fund,Fund,abkangels,https://abkangels.decilehub.com/firm_admin/entities/y8m0e5nW/dashboard
46729,GNXGW7Kg,Sandy Cay Capital Fund,Fund,aiimpact,https://aiimpact.decilehub.com/firm_admin/entities/GNXGW7Kg/dashboard
46696,mnj9yONL,Golden Emu Fund,Fund,goldenemu,https://goldenemu.decilehub.com/firm_admin/entities/mnj9yONL/dashboard
46663,yN2D1x8Q,Axel Fund,Fund,axel,https://axel.decilehub.com/firm_admin/entities/yN2D1x8Q/dashboard
46634,9KJDVYnZ,Vellara Ventures Fund,Fund,vellaraventures,https://vellaraventures.decilehub.com/firm_admin/entities/9KJDVYnZ/dashboard
46633,6N06rj8y,Rush Fund,Fund,rush,https://rush.decilehub.com/firm_admin/entities/6N06rj8y/dashboard
46632,6NQA9jNr,Nestech Fund,Fund,nestech,https://nestech.decilehub.com/firm_admin/entities/6NQA9jNr/dashboard
46631,gNrRv1N1,SIWEL Venture Partners Fund,Fund,swilventurepartners,https://swilventurepartners.decilehub.com/firm_admin/entities/gNrRv1N1/dashboard
46630,y8m07dnW,Endure Ventures Fund,Fund,endureventures,https://endureventures.decilehub.com/firm_admin/entities/y8m07dnW/dashboard
46598,BKVBL7K3,Lucas Venture Group Fund,Fund,lucasvg,https://lucasvg.decilehub.com/firm_admin/entities/BKVBL7K3/dashboard
46597,oNDq9AnR,Speace Fund,Fund,speace,https://speace.decilehub.com/firm_admin/entities/oNDq9AnR/dashboard
46564,g8g0X9KZ,Rusty ventures Fund,Fund,rustyvc,https://rustyvc.decilehub.com/firm_admin/entities/g8g0X9KZ/dashboard
46532,6NQAJANr,Veza Fund,Fund,veza,https://veza.decilehub.com/firm_admin/entities/6NQAJANr/dashboard
46531,gNrRXdN1,Valerio Fund,Fund,valerio,https://valerio.decilehub.com/firm_admin/entities/gNrRXdN1/dashboard
46498,BKVBb0K3,SABAH.fund Fund,Fund,sabahfund,https://sabahfund.decilehub.com/firm_admin/entities/BKVBb0K3/dashboard
46465,p8Beornk,Providence Capital Fund,Fund,providencecapital,https://providencecapital.decilehub.com/firm_admin/entities/p8Beornk/dashboard
46432,6NQo0Q8r,W2 Fund Fund,Fund,w2fund,https://w2fund.decilehub.com/firm_admin/entities/6NQo0Q8r/dashboard
46399,J8PPDP8A,Substrate Ventures Fund,Fund,substrateventures,https://substrateventures.decilehub.com/firm_admin/entities/J8PPDP8A/dashboard
46366,0ndj4EKA,Lutèce Ventures Fund,Fund,luteceventures,https://luteceventures.decilehub.com/firm_admin/entities/0ndj4EKA/dashboard
46333,6N0mXGny,Obsidian Fund,Fund,obsidian,https://obsidian.decilehub.com/firm_admin/entities/6N0mXGny/dashboard
46301,RneDGeNq,Peregrine Ventures Fund,Fund,peregrine,https://peregrine.decilehub.com/firm_admin/entities/RneDGeNq/dashboard
46300,7NaZ2vnD,Daniel's VC soft Fund,Fund,danielvcsoft,https://danielvcsoft.decilehub.com/firm_admin/entities/7NaZ2vnD/dashboard
46267,9nGpop8m,Pro 47 Ventures Fund,Fund,pro47ventures,https://pro47ventures.decilehub.com/firm_admin/entities/9nGpop8m/dashboard
46234,9KJZYBKZ,Heroes Capital Fund,Fund,heroescapital,https://heroescapital.decilehub.com/firm_admin/entities/9KJZYBKZ/dashboard
46203,zKqBx4N5,Lirian Fund,Fund,lirian,https://lirian.decilehub.com/firm_admin/entities/zKqBx4N5/dashboard
46202,Lnpgx7N4,Pitchme Ventures Fund,Fund,pitchme,https://pitchme.decilehub.com/firm_admin/entities/Lnpgx7N4/dashboard
46201,RneDxONq,FDN Advisory Fund,Fund,fdnadvisory,https://fdnadvisory.decilehub.com/firm_admin/entities/RneDxONq/dashboard
46169,kKk5m6nj,Digital Twins Fund,Fund,digitwins,https://digitwins.decilehub.com/firm_admin/entities/kKk5m6nj/dashboard
46168,3nz6jGnm,Geometric Young Investors Group Limited Fund,Fund,geometricyounginvestorsgroup,https://geometricyounginvestorsgroup.decilehub.com/firm_admin/entities/3nz6jGnm/dashboard
46135,WnwMVMK4,ITS Fund,Fund,its,https://its.decilehub.com/firm_admin/entities/WnwMVMK4/dashboard
46102,Lnpg5kN4,CoSolve VC Fund,Fund,cosolvevc,https://cosolvevc.decilehub.com/firm_admin/entities/Lnpg5kN4/dashboard
46069,kKk5Vknj,Oblige Ventures Fund,Fund,obligeventure,https://obligeventure.decilehub.com/firm_admin/entities/kKk5Vknj/dashboard
46036,3N9YMpNJ,Cinderwood Fund,Fund,cinderwood,https://cinderwood.decilehub.com/firm_admin/entities/3N9YMpNJ/dashboard
46003,zKqBzBN5,Latam Game Stars Fund,Fund,latamgamestars,https://latamgamestars.decilehub.com/firm_admin/entities/zKqBzBN5/dashboard
45970,bnlAgB8a,StartUPER Venture Lab Fund,Fund,sivl,https://sivl.decilehub.com/firm_admin/entities/bnlAgB8a/dashboard
45937,g8bvVr8x,PRIMESOURCE MANAGEMENT Fund,Fund,primesource,https://primesource.decilehub.com/firm_admin/entities/g8bvVr8x/dashboard
45905,L8ZBw58O,Weave Capital Fund,Fund,weavecapital,https://weavecapital.decilehub.com/firm_admin/entities/L8ZBw58O/dashboard
45904,GNMjwLn1,"Matador Ventures LP Fund I, a Series of Decile Start Fund, LP",Fund,matadorvc,https://matadorvc.decilehub.com/firm_admin/entities/GNMjwLn1/dashboard
45871,3nOVqVN6,Horizon Impact Fund Fund,Fund,horizonimpact,https://horizonimpact.decilehub.com/firm_admin/entities/3nOVqVN6/dashboard
45839,08xZ9GNW,"NuMundo Ventures Fund II, LP",Fund,numundoventures,https://numundoventures.decilehub.com/firm_admin/entities/08xZ9GNW/dashboard
45838,l8yv9aKZ,NuMundo Ventures GP II,General Partnership,numundoventures,https://numundoventures.decilehub.com/firm_admin/entities/l8yv9aKZ/dashboard
45805,L8ZBV78O,Madinah Hubs Fund,Fund,madinahhubs,https://madinahhubs.decilehub.com/firm_admin/entities/L8ZBV78O/dashboard
45772,PKL6DLn2,Chilin Capital Fund,Fund,chilincapital,https://chilincapital.decilehub.com/firm_admin/entities/PKL6DLn2/dashboard
45740,EK4yqPN4,AURORIS CAPITAL Fund,Fund,aureriscapital,https://aureriscapital.decilehub.com/firm_admin/entities/EK4yqPN4/dashboard
45707,WN6ygOK3,nosvi Fund,Fund,nosvi,https://nosvi.decilehub.com/firm_admin/entities/WN6ygOK3/dashboard
45706,yKvqvr8x,Seed Money Ventures LLC Fund,Fund,seedmoneyventures,https://seedmoneyventures.decilehub.com/firm_admin/entities/yKvqvr8x/dashboard
45674,y8m1G58W,BrightHealth Capital Fund,Fund,togethercapital,https://togethercapital.decilehub.com/firm_admin/entities/y8m1G58W/dashboard
45673,GNX2p78g,Hack The Concrete Jungle Fund Fund,Fund,htcj,https://htcj.decilehub.com/firm_admin/entities/GNX2p78g/dashboard
45640,EK4yg4N4,"Geek Ventures Har SPV, a series of Decile SPV, LLC",Fund,geek,https://geek.decilehub.com/firm_admin/entities/EK4yg4N4/dashboard
45607,WN6yEyK3,Reddick & Holm Ventures Fund,Fund,forestholm,https://forestholm.decilehub.com/firm_admin/entities/WN6yEyK3/dashboard
45574,y8m11d8W,Travis 20260219 Fund,Fund,travis20260219,https://travis20260219.decilehub.com/firm_admin/entities/y8m11d8W/dashboard
45541,OnYggjKV,"Foxtail Foundry, a Series of Decile Start Fund, LP",Fund,foxtailfoundry,https://foxtailfoundry.decilehub.com/firm_admin/entities/OnYggjKV/dashboard
45509,oND4kXNR,BCI Fund,Fund,bci,https://bci.decilehub.com/firm_admin/entities/oND4kXNR/dashboard
45508,mnj3YO8L,Jibun Fund,Fund,jibun,https://jibun.decilehub.com/firm_admin/entities/mnj3YO8L/dashboard
45475,gNrd5d81,Nivesha Ventures Fund,Fund,niveshaventures1,https://niveshaventures1.decilehub.com/firm_admin/entities/gNrd5d81/dashboard
45442,9KREQX8p,Nomad Ventures Fund,Fund,digitalnomads,https://digitalnomads.decilehub.com/firm_admin/entities/9KREQX8p/dashboard
45409,oND4RANR,Blue Beacon Fund,Fund,bluebeacon1,https://bluebeacon1.decilehub.com/firm_admin/entities/oND4RANR/dashboard
45376,6NQo7Q8r,Melody Capital Fund,Fund,melody,https://melody.decilehub.com/firm_admin/entities/6NQo7Q8r/dashboard
45310,BKV1r083,7GC Fund,Fund,7gc,https://7gc.decilehub.com/firm_admin/entities/BKV1r083/dashboard
45279,WnwMJ2K4,"Savyon Ventures GP II, LP",General Partnership,savyonventures,https://savyonventures.decilehub.com/firm_admin/entities/WnwMJ2K4/dashboard
45278,9KJZEbKZ,"Rebellion Ventures II, LP",Fund,rebellion,https://rebellion.decilehub.com/firm_admin/entities/9KJZEbKZ/dashboard
45277,6N0mRGny,"Rebellion Ventures GP II,LLC",General Partnership,rebellion,https://rebellion.decilehub.com/firm_admin/entities/6N0mRGny/dashboard
45244,7NaZXvnD,"Savyon Ventures Fund II, LP",Fund,savyonventures,https://savyonventures.decilehub.com/firm_admin/entities/7NaZXvnD/dashboard
45211,J8PPjP8A,ZORA Ventures Fund,Fund,zora,https://zora.decilehub.com/firm_admin/entities/J8PPjP8A/dashboard
45178,9KJZRBKZ,SuperCharger Ventures Edtech Fund Fund,Fund,superchargerventures,https://superchargerventures.decilehub.com/firm_admin/entities/9KJZRBKZ/dashboard
45145,RneDgONq,Trium Limited Fund,Fund,triumlimited,https://triumlimited.decilehub.com/firm_admin/entities/RneDgONq/dashboard
45112,w8o2POnq,Confluence Ventures Fund,Fund,confluenceventures,https://confluenceventures.decilehub.com/firm_admin/entities/w8o2POnq/dashboard
45079,WnwMWMK4,GrowthPath Investments Fund,Fund,gpi,https://gpi.decilehub.com/firm_admin/entities/WnwMWMK4/dashboard
45046,Lnpg6kN4,"Quidnet Ventures Fund II, LP",Fund,quidnetventures,https://quidnetventures.decilehub.com/firm_admin/entities/Lnpg6kN4/dashboard
45013,2nEa9JnZ,KenKo Ventures Fund,Fund,kenkoventures,https://kenkoventures.decilehub.com/firm_admin/entities/2nEa9JnZ/dashboard
44980,3N9YopNJ,VestVC Fund,Fund,vestvc,https://vestvc.decilehub.com/firm_admin/entities/3N9YopNJ/dashboard
44947,zKqB2BN5,Pupa Ventures Fund,Fund,pupavc,https://pupavc.decilehub.com/firm_admin/entities/zKqB2BN5/dashboard
44914,2N3mJY8y,Crosley Venture Partners LLC Fund,Fund,crosleyvp,https://crosleyvp.decilehub.com/firm_admin/entities/2N3mJY8y/dashboard
44883,08xZLXNW,Blue Beacon Fund,Fund,bluebeacon12,https://bluebeacon12.decilehub.com/firm_admin/entities/08xZLXNW/dashboard
44882,l8yvJ4KZ,55 Impact Ventures Fund,Fund,55impactventures,https://55impactventures.decilehub.com/firm_admin/entities/l8yvJ4KZ/dashboard
44849,L8ZBX58O,Milk Street Fund,Fund,milkstreet,https://milkstreet.decilehub.com/firm_admin/entities/L8ZBX58O/dashboard
44848,GNMjXLn1,D52ventures Fund,Fund,d52ventures,https://d52ventures.decilehub.com/firm_admin/entities/GNMjXLn1/dashboard
44815,3K5xbx8Q,"Ecosphere Ventures Fund II - America@250™, LP",Fund,ecosphere,https://ecosphere.decilehub.com/firm_admin/entities/3K5xbx8Q/dashboard
44716,1NAm6VNX,EOS BioInnovation Fund,Fund,eosbioinnovation,https://eosbioinnovation.decilehub.com/firm_admin/entities/1NAm6VNX/dashboard
44683,08xZXZNW,Hope Venture Fund Fund,Fund,hopevc,https://hopevc.decilehub.com/firm_admin/entities/08xZXZNW/dashboard
44650,yKvq4r8x,Aanda Capital Fund,Fund,aanda,https://aanda.decilehub.com/firm_admin/entities/yKvq4r8x/dashboard
44618,PN7mkk80,Syndicate AI Ventures Fund,Fund,syndicateai,https://syndicateai.decilehub.com/firm_admin/entities/PN7mkk80/dashboard
44617,zn1JGz8o,ConfluenceX Capital Fund,Fund,confluencecapital,https://confluencecapital.decilehub.com/firm_admin/entities/zn1JGz8o/dashboard
44584,EK4yr4N4,TGN Ventures Fund,Fund,tgnv,https://tgnv.decilehub.com/firm_admin/entities/EK4yr4N4/dashboard
44519,yN253GKQ,Red Beard Ventures Fund,Fund,redbeardventures,https://redbeardventures.decilehub.com/firm_admin/entities/yN253GKQ/dashboard
44518,PN7gzpN0,Orbit Ventures Fund,Fund,orbitventures,https://orbitventures.decilehub.com/firm_admin/entities/PN7gzpN0/dashboard
44485,OnYVvj8V,Oxford Alpha Fund,Fund,oxfordalpha,https://oxfordalpha.decilehub.com/firm_admin/entities/OnYVvj8V/dashboard
44452,mnjYwONL,IDDQD Fund,Fund,iddqd,https://iddqd.decilehub.com/firm_admin/entities/mnjYwONL/dashboard
44419,yN25rxKQ,IL Angel Club,Fund,ilangelclub,https://ilangelclub.decilehub.com/firm_admin/entities/yN25rxKQ/dashboard
44386,9KRqMX8p,Whitelint Fund,Fund,whitelint,https://whitelint.decilehub.com/firm_admin/entities/9KRqMX8p/dashboard
44353,oNDkmAKR,AVC Fund,Fund,avc,https://avc.decilehub.com/firm_admin/entities/oNDkmAKR/dashboard
44320,g8gYZ9NZ,Aexodus Capital Fund,Fund,aexodus,https://aexodus.decilehub.com/firm_admin/entities/g8gYZ9NZ/dashboard
